email,password,staffRole,userId,phone,isEmailVerified,isPhoneVerified,isNinVerified,profileImageUrl,companyName,companyEmail,token,status
bot.asset_manager.1@test.local,Test1234!,asset_manager,6984a24bb18b467919a2c28c,+2348001000001,true,true,true,https://example.com/bots/profile/asset_manager-1.png,GafExpress Asset Manager 0001 [BOT],bot.asset_manager.0001@gafexpress.test,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiI2OTg0YTI0YmIxOGI0Njc5MTlhMmMyOGMiLCJyb2xlIjoic3RhZmYiLCJpYXQiOjE3NzAyOTk5NzksImV4cCI6MTc3MDM4NjM3OX0.PDvzvUx5JZM4MjYYR4YVmuMPgddp3r-37X66XCnCpvQ,created
bot.asset_manager.2@test.local,Test1234!,asset_manager,6984a24bb18b467919a2c2a4,+2348001000002,true,true,true,https://example.com/bots/profile/asset_manager-2.png,GafExpress Asset Manager 0002 [BOT],bot.asset_manager.0002@gafexpress.test,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiI2OTg0YTI0YmIxOGI0Njc5MTlhMmMyYTQiLCJyb2xlIjoic3RhZmYiLCJpYXQiOjE3NzAyOTk5ODAsImV4cCI6MTc3MDM4NjM4MH0.LElKLHoc-FhOYfqceOJNR21J-kGniTWUeA_wh4lfFnM,created
bot.farm_manager.1@test.local,Test1234!,farm_manager,6984a24cb18b467919a2c2b3,+2348002000001,true,true,true,https://example.com/bots/profile/farm_manager-1.png,GafExpress Farm Manager 0001 [BOT],bot.farm_manager.0001@gafexpress.test,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiI2OTg0YTI0Y2IxOGI0Njc5MTlhMmMyYjMiLCJyb2xlIjoic3RhZmYiLCJpYXQiOjE3NzAyOTk5ODEsImV4cCI6MTc3MDM4NjM4MX0.IYPua-SJWnDBOjBtTNfCztDZTpgGsYm-z8NwGKf_Ap4,created
bot.estate_manager.1@test.local,Test1234!,estate_manager,6984a24db18b467919a2c2c2,+2348003000001,true,true,true,https://example.com/bots/profile/estate_manager-1.png,GafExpress Estate Manager 0001 [BOT],bot.estate_manager.0001@gafexpress.test,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiI2OTg0YTI0ZGIxOGI0Njc5MTlhMmMyYzIiLCJyb2xlIjoic3RhZmYiLCJpYXQiOjE3NzAyOTk5ODEsImV4cCI6MTc3MDM4NjM4MX0.xhVEWmVBle9oqqyQDqNbAHLxZcfPd9uoLwZMOg2yEiY,created
bot.accountant.1@test.local,Test1234!,accountant,6984a24db18b467919a2c2d1,+2348004000001,true,true,true,https://example.com/bots/profile/accountant-1.png,GafExpress Accountant 0001 [BOT],bot.accountant.0001@gafexpress.test,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiI2OTg0YTI0ZGIxOGI0Njc5MTlhMmMyZDEiLCJyb2xlIjoic3RhZmYiLCJpYXQiOjE3NzAyOTk5ODIsImV4cCI6MTc3MDM4NjM4Mn0.Aa1EF22Ww8zNYGFoJY4K74qTY3ZHgzUQ3KVT4wOwU38,created
bot.accountant.2@test.local,Test1234!,accountant,6984a24eb18b467919a2c2e0,+2348004000002,true,true,true,https://example.com/bots/profile/accountant-2.png,GafExpress Accountant 0002 [BOT],bot.accountant.0002@gafexpress.test,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiI2OTg0YTI0ZWIxOGI0Njc5MTlhMmMyZTAiLCJyb2xlIjoic3RhZmYiLCJpYXQiOjE3NzAyOTk5ODIsImV4cCI6MTc3MDM4NjM4Mn0.drBVIhXNug11pi4ATFrSmXxLIRC_WNpcbf13JW6bAqg,created
bot.accountant.3@test.local,Test1234!,accountant,6984a24eb18b467919a2c2ef,+2348004000003,true,true,true,https://example.com/bots/profile/accountant-3.png,GafExpress Accountant 0003 [BOT],bot.accountant.0003@gafexpress.test,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiI2OTg0YTI0ZWIxOGI0Njc5MTlhMmMyZWYiLCJyb2xlIjoic3RhZmYiLCJpYXQiOjE3NzAyOTk5ODMsImV4cCI6MTc3MDM4NjM4M30.CGWr1yrZXcjwKTqIqHGBAFcvg6ntO2JX2xjHW0Jt-HY,created
bot.field_agent.1@test.local,Test1234!,field_agent,6984a24fb18b467919a2c2fe,+2348005000001,true,true,true,https://example.com/bots/profile/field_agent-1.png,GafExpress Field Agent 0001 [BOT],bot.field_agent.0001@gafexpress.test,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiI2OTg0YTI0ZmIxOGI0Njc5MTlhMmMyZmUiLCJyb2xlIjoic3RhZmYiLCJpYXQiOjE3NzAyOTk5ODMsImV4cCI6MTc3MDM4NjM4M30.w61fuzQB0vd3oH9DcrmtNAkXKvCJttB-7KEoCoVT62A,created
bot.cleaner.1@test.local,Test1234!,cleaner,6984a24fb18b467919a2c30d,+2348006000001,true,true,true,https://example.com/bots/profile/cleaner-1.png,GafExpress Cleaner 0001 [BOT],bot.cleaner.0001@gafexpress.test,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiI2OTg0YTI0ZmIxOGI0Njc5MTlhMmMzMGQiLCJyb2xlIjoic3RhZmYiLCJpYXQiOjE3NzAyOTk5ODQsImV4cCI6MTc3MDM4NjM4NH0.GZt3NdJOKCn7bYijDAUcfpYrvIv71liijP-h9PcCcYQ,created
bot.cleaner.2@test.local,Test1234!,cleaner,6984a250b18b467919a2c31c,+2348006000002,true,true,true,https://example.com/bots/profile/cleaner-2.png,GafExpress Cleaner 0002 [BOT],bot.cleaner.0002@gafexpress.test,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiI2OTg0YTI1MGIxOGI0Njc5MTlhMmMzMWMiLCJyb2xlIjoic3RhZmYiLCJpYXQiOjE3NzAyOTk5ODQsImV4cCI6MTc3MDM4NjM4NH0.hSe4advo-OIgbqnth5McOCQv6oObWVpKNmf3IWI2u94,created
